wl,n
404.7,1.5051867964397
411.5,1.5042437025881
418.3,1.5033507068647
425,1.5025163510791
431.8,1.5017125033668
438.6,1.5009489704492
445.4,1.5002230293009
452.2,1.4995321873662
459,1.4988741590812
465.7,1.4982558573267
472.5,1.497656916579
479.3,1.497085004795
486.1,1.496538478199
492.9,1.4960158179215
499.7,1.4955156185918
506.4,1.4950434754648
513.2,1.4945841009501
520,1.4941435714605
526.8,1.4937208426449
533.6,1.4933149422653
540.4,1.4929249642159
547.1,1.4925554709922
553.9,1.4921946526763
560.7,1.4918473941605
567.5,1.4915130040449
574.3,1.491190834719
581.1,1.4908802790307
587.8,1.4905850944309
594.6,1.4902959406623
601.4,1.4900167999468
608.2,1.4897471987123
615,1.4894866910993
621.8,1.4892348570129
628.5,1.488994823899
635.3,1.4887590572135
642.1,1.4885308462197
648.9,1.488309857092
655.7,1.4880957741599
662.5,1.4878882987202
669.2,1.4876900615199
676,1.4874948802221
682.8,1.487305505177
689.6,1.4871216951764
696.4,1.4869432212593
703.2,1.4867698659618
709.9,1.4866038650953
716.7,1.4864400692282
723.5,1.4862808045231
730.3,1.4861258928749
737.1,1.4859751646501
743.9,1.485828458198
750.6,1.485687692658
757.4,1.4855485207977
764.2,1.4854129312597
771,1.485280789964
777.8,1.4851519688178
784.5,1.4850281701926
791.3,1.484905582922
798.1,1.4847859658906
804.9,1.4846692118161
811.7,1.4845552179645
818.5,1.4844438859117
825.2,1.484336702637
832,1.4842303792563
838.8,1.4841264473418
845.6,1.484024823551
852.4,1.4839254278585
859.2,1.4838281833912
865.9,1.4837344010809
872.7,1.4836412112723
879.5,1.4835499604411
886.3,1.4834605828017
893.1,1.4833730150208
899.9,1.4832871960991
906.6,1.4832042924779
913.4,1.483121773438
920.2,1.4830408339616
927,1.4829614212947
933.8,1.4828834845139
940.6,1.4828069744406
947.3,1.4827329386548
954.1,1.4826591217525
960.9,1.4825865943343
967.7,1.4825153134007
974.5,1.4824452373273
981.3,1.4823763258001
988,1.4823095286381
994.8,1.482242814478
1002,1.4821733211839
1008,1.4821162799799
1015,1.4820506976303
1022,1.4819861203197
1029,1.4819225123455
1036,1.4818598390073
1042,1.4818068372909
1049,1.4817458108574
1056,1.4816856250036
1063,1.4816262484469
1069,1.481575975247
1076,1.4815180213019
1083,1.4814607914262
